,resultado_previsto,resultado,rel_goldEarned,rel_magicDamageDealt,rel_physicalDamageDealt,rel_totalDamageDealt,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_visionScore,rel_wardsPlaced,rel_neutralMinionsKilled
50,0.5966852630789994,True,0.20848235005050644,0.02563808875199282,0.3891272375659183,0.19636002414538808,0.08284543102066365,0.04777688496049284,0.2731182795698925,0.1494661921708185,0.10655737704918032,0.06772908366533864
51,0.2904688747446486,True,0.19768489448251386,0.20169950624545327,0.19322697023620894,0.17105522769140005,0.31115317969817485,0.3129436185884559,0.05806451612903226,0.20640569395017794,0.13114754098360654,0.6294820717131474
52,0.27262502132939037,True,0.12043735837724208,0.029099014038726456,0.012098903866936432,0.02336789093160956,0.1947970657160523,0.4002276684076604,0.061290322580645165,0.33451957295373663,0.4426229508196721,0.0
53,0.5982296470101093,True,0.23414507630565945,0.7372544770690482,0.017213920646141596,0.3875129664250174,0.16021007152507954,0.11631177179590195,0.3139784946236559,0.13523131672597866,0.16393442622950818,0.199203187250996
54,0.21042123511861813,True,0.23925032078407815,0.006308913894779203,0.3883329676847947,0.2217038908065849,0.2509942520400296,0.12274005624748895,0.29354838709677417,0.17437722419928825,0.1557377049180328,0.10358565737051792
55,0.7250153497231319,False,0.16115038826431774,0.39029572373481,0.08995783043224907,0.12918501600568552,0.2714351491912048,0.2916427615222796,0.010146561443066516,0.13917525773195874,0.16666666666666666,0.7531645569620253
56,0.38811175415317817,False,0.2425948308690829,0.14765997538840178,0.35700876416599514,0.3379319560952201,0.2856485080879522,0.4807802639127941,0.2987598647125141,0.061855670103092786,0.07407407407407407,0.06962025316455696
57,0.20320428957895534,False,0.2271801579548653,0.25002884171665896,0.27436345675968044,0.26561784375778263,0.13066779387232885,0.06919104991394147,0.3449830890642616,0.15979381443298968,0.14814814814814814,0.10126582278481013
58,0.5896998405525539,False,0.13868238488666654,0.1638017228118751,0.007228859073208894,0.02829513633685438,0.13358896747458127,0.07542551157008988,0.021420518602029308,0.4432989690721649,0.5092592592592593,0.0
59,0.6381856653526681,False,0.2303922380250675,0.04821373634825411,0.2714410895688664,0.2389700478044573,0.17865958137393287,0.08296041308089501,0.3246899661781285,0.1958762886597938,0.10185185185185183,0.0759493670886076
110,0.725732326629689,False,0.1450968681175109,0.028834295725136287,0.02211317576722797,0.22068963679413087,0.16673678727411148,0.16667854851358094,0.051932367149758456,0.3048128342245989,0.37777777777777777,0.0
111,0.7124485992507315,False,0.24918809959311655,0.07081935848230236,0.5336137782095165,0.20834338204236846,0.11540850262451414,0.07585371070079132,0.3188405797101449,0.0855614973262032,0.1111111111111111,0.04580152671755725
112,0.24069544574496146,False,0.23050505804621302,0.4941420882173277,0.02422693521556594,0.2362457045932705,0.19443442721480947,0.056676409781136375,0.32971014492753625,0.1711229946524064,0.18888888888888888,0.12213740458015268
113,1.0,False,0.1974504460786144,0.14375943662621166,0.26994834422176545,0.1620002904687606,0.3162239051168009,0.6077564696656448,0.0640096618357488,0.31016042780748665,0.14444444444444446,0.8320610687022901
114,0.4734996000981694,False,0.17775952816454516,0.26244482094902205,0.1500977665859241,0.17272098610146952,0.207196377769764,0.09303486133884653,0.2355072463768116,0.12834224598930485,0.17777777777777778,0.0
115,0.4722739389769129,True,0.15118340788938592,0.3304225032057005,0.08033935034462901,0.18718903437570691,0.19757928316757364,0.2440093154378869,0.019122609673790772,0.3185483870967742,0.31007751937984496,0.6111111111111112
116,0.47296626542376974,True,0.2097925986173241,0.19439529938807645,0.2877961675333958,0.23272926978833355,0.08886282604616251,0.058650487221915786,0.31833520809898763,0.10887096774193547,0.09302325581395347,0.10606060606060606
117,0.41022162175181837,True,0.2234892232614884,0.43433589248324106,0.0965112784233696,0.21857975587998024,0.2489303809345093,0.3420665563522706,0.26209223847019125,0.16129032258064516,0.17829457364341084,0.12121212121212123
118,0.7077131335512341,True,0.1394225294835299,0.03281176451492477,0.02070047204956394,0.04344448538879506,0.15766560330268342,0.05684255684255684,0.07086614173228346,0.2862903225806452,0.2868217054263566,0.020202020202020204
119,0.30709019927705306,True,0.2761122407482717,0.008034540408057265,0.5146527316490417,0.3180574545671842,0.30696190654907113,0.29843108414536984,0.3295838020247469,0.125,0.13178294573643412,0.1414141414141414
